street_name,total_complaints
"lake avenue",471
"clifford avenue",402
"genesee park boulevard",365
"dewey avenue",352
"norton street",348
"culver road",312
"east main street",291
"avenue d",286
"jay street",278
"ridgeway avenue",270
"seward street",260
"garson avenue",241
"arnett boulevard",240
"bay street",240
"emerson street",235
"post avenue",233
"augustine street",227
"electric avenue",218
"chili avenue",217
"parsells avenue",217
"frost avenue",214
"south plymouth avenue",213
"lexington avenue",212
"clay avenue",209
"melville street",207
"hazelwood terrace",207
"north street",206
"flower city park",204
"north goodman street",201
"sawyer street",200
"selye terrace",197
"brooks avenue",197
"seneca parkway",194
"woodbine avenue",194
"portland avenue",193
"east avenue",191
"genesee street",190
"south avenue",190
"glide street",189
"grand avenue",189
"birr street",188
"rosewood terrace",188
"magee avenue",186
"wellington avenue",179
"maple street",177
"lake view park",172
"st paul street",172
"conkey avenue",170
"carter street",165
"jefferson avenue",165
"south goodman street",163
"north clinton avenue",161
"columbia avenue",160
"wilkins street",158
"cedarwood terrace",156
"park avenue",156
"thurston road",152
"campbell street",150
"bartlett street",148
"meigs street",146
"avis street",142
"hawley street",141
"monroe avenue",140
"driving park avenue",139
"glenwood avenue",139
"flint street",137
"cady street",134
"cottage street",134
"lyell avenue",133
"bernard street",131
"alexander street",128
"melrose street",127
"atlantic avenue",126
"smith street",125
"randolph street",123
"alameda street",123
"joseph avenue",123
"rugby avenue",121
"ravine avenue",117
"webster avenue",115
"wilder street",114
"child street",112
"linden street",112
"kenwood avenue",111
"fulton avenue",111
"magnolia street",109
"adams street",109
"atkinson street",108
"harvard street",108
"locust street",107
"ravenwood avenue",107
"south clinton avenue",106
"pullman avenue",105
"champlain street",104
"remington street",104
"troup street",102
"mount read boulevard",102
"oxford street",102
"weaver street",101
"mcnaughton street",100
"knickerbocker avenue",100
"ellison street",100
"hague street",99
"highland avenue",99
"merchants road",99
"ferncliffe drive",98
"glendale park",98
"reynolds street",96
"curtis street",94
"avery street",94
"first street",92
"hudson avenue",90
"curlew street",89
"sherman street",89
"exchange street",89
"barrington street",89
"tremont street",88
"westfield street",88
"sunset street",87
"roycroft drive",87
"warwick avenue",87
"mohawk street",86
"west broad street",86
"university avenue",86
"mount vernon avenue",86
"saratoga avenue",85
"aberdeen street",85
"michigan street",85
"dr samuel mccree way",84
"elmdorf avenue",84
"clifton street",83
"mount hope avenue",83
"fernwood avenue",83
"northland avenue",83
"caroline street",83
"lux street",83
"winton road north",82
"durnan street",81
"ellicott street",81
"marne street",80
"normandy avenue",80
"murray street",79
"rutgers street",79
"weyl street",79
"westminster road",79
"berlin street",79
"benton street",79
"garfield street",78
"north union street",77
"miller street",77
"averill avenue",76
"depew street",76
"santee street",76
"penhurst street",76
"hamilton street",76
"fieldwood drive",76
"alphonse street",75
"steko avenue",75
"hayward avenue",75
"herald street",75
"madison street",75
"lorimer street",74
"gregory street",74
"west high terrace",74
"roxborough road",74
"townsend street",74
"edgeland street",74
"ames street",73
"raines park",73
"barton street",73
"winchester street",73
"fillmore street",72
"aurora street",72
"orange street",71
"maplewood avenue",71
"central park",71
"albemarle street",71
"wetmore park",70
"south fitzhugh street",70
"beach avenue",70
"rand street",70
"sanford street",69
"oneida street",69
"sherwood avenue",69
"home place",69
"laburnam crescent",69
"boardman street",68
"grafton street",67
"saxton street",66
"state street",66
"colvin street",66
"merlin street",66
"weld street",66
"ernst street",66
"bryan street",66
"woodward street",66
"arbutus street",65
"thomas street",65
"north plymouth avenue",64
"warner street",64
"rockingham street",64
"otis street",64
"west main street",64
"marion street",64
"springfield avenue",64
"dartmouth street",64
"dickinson street",63
"st jacob street",63
"hillendale street",63
"planet street",63
"delamaine drive",62
"denise road",62
"humboldt street",61
"roslyn street",61
"winterroth street",61
"peck street",61
"kislingbury street",60
"pershing drive",60
"brown street",60
"lincoln street",60
parkway,60
"weston road",60
"inglewood drive",60
"leighton avenue",60
"la grange avenue",59
"congress avenue",59
"colebourne road",58
"shelter street",58
"laser street",58
"bidwell terrace",58
"clairmount street",58
"seneca avenue",58
"flanders street",58
"phelps avenue",58
"gardiner avenue",57
"scrantom street",57
"waring road",57
"hollenbeck street",57
"earl street",57
"dunn street",57
"leopard street",56
"ramona street",56
"marlborough road",56
"holbrooke street",55
"avenue a",55
"bowman street",55
"villa street",55
"longview terrace",55
"salisbury street",55
"field street",55
"jones avenue",55
"church street",55
"lyndhurst street",54
"bradburn street",54
"werner park",54
"scio street",54
"polaris street",54
"hempel street",54
"brunswick street",54
"blossom road",54
"vassar street",54
"aldine street",53
"ferris street",53
"resolute street",53
"winbourne road",52
"jewel street",52
"ashwood drive",52
"lime street",52
"evergreen street",52
"costar street",52
"nichols street",52
"richmond street",52
"rosedale street",52
"fairview avenue",51
"navarre road",51
"avenue b",51
"anthony street",51
"lincoln avenue",50
"bedford street",50
"traver circle",50
"oakland street",50
"falleson road",50
"millbank street",50
"sixth street",49
"gothic street",49
"spruce avenue",49
"masseth street",49
"illinois street",49
"mitchell street",49
"pierpont street",49
"hillcrest street",49
"raeburn avenue",48
"cornhill place",48
"barberry terrace",48
"orchard street",48
"dove street",48
"farragut street",48
"lemoyn avenue",48
"henry street",48
"fairgate street",48
"avenue e",48
"parkside avenue",48
"copeland street",48
"rohr street",48
"rosemary drive",48
"edgerton street",48
"edmonds street",48
"st casimir street",48
"peckham street",47
"norran drive",47
"finch street",47
"burlington avenue",47
"hampden road",47
"portage street",47
"southampton drive",47
"jackson street",46
"willmont street",46
"milton street",46
"lozier street",46
"sylvester street",46
"northlane drive",46
"turpin street",46
"myrtle street",45
"somerset street",45
"richard street",45
"maria street",45
"stanton street",45
"bly street",45
"rocket street",45
"rundel park",45
"stutson street",44
"campbell park",44
"bleacker road",44
"canterbury road",44
"cherry road",44
"wisconsin street",44
"tyler street",44
"wilbur street",44
"seager street",44
"morton street",44
"canary street",44
"collingwood drive",44
"saranac street",43
"sobieski street",43
"west avenue",43
"breck street",43
"trafalgar street",43
"rugraff street",43
"minnesota street",43
"merrill street",43
"rockview terrace",43
"lyceum street",43
"oriole street",43
"lakeview terrace",43
"shepard street",43
"douglas road",42
"mason street",42
"laney road",42
"burrows street",42
"harding road",42
"versailles road",42
"hoeltzer street",42
"salina street",42
broadway,42
"ambrose street",42
"crosman terrace",42
"silver street",41
"pennsylvania avenue",41
"avondale park",41
"cameron street",41
"klein street",41
"warsaw street",41
"lenox street",41
"east ridge road",41
"weldon street",41
"crossfield road",41
"beresford road",41
"moulson street",41
"ontario street",40
"canton street",40
"exchange boulevard",40
"macbeth street",40
"kingston street",40
"yarmouth road",40
"hobart street",40
"milburn street",40
"reliance street",40
"farmington road",40
"christian avenue",39
"walnut street",39
"cypress street",39
"elm drive",39
"fairbanks street",39
"bock street",39
"independence street",39
"strong street",39
"rustic street",39
"hollister street",39
"castlebar road",39
"thorndale terrace",39
"wendell street",39
"dunbar street",39
"cobbs hill drive",39
"waverly place",38
"newcastle road",38
"spencer street",38
"chevalin street",38
"cummings street",38
"brighton street",38
"aab street",38
"pearl street",38
"rogers avenue",38
"akron street",38
"windemere road",37
"stratford park",37
"malling drive",37
"jerold street",37
"third street",37
"arvine heights",37
"oscar street",37
"gray street",37
"mulberry street",37
"rauber street",37
"hillside avenue",37
"elba street",36
"west ridge road",36
"love street",36
"ellsinore street",36
"midland avenue",36
"diringer place",36
"alford street",36
"newcomb street",36
"immel street",36
"virginia avenue",36
"radio street",36
"elmcroft road",35
"dorset street",35
"elmwood avenue",35
"hoff street",35
"furlong street",35
"berkeley street",35
"dorchester road",35
